sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10
260.0,64.0,-232.0,-36.0,-2.0,-35.0,103.0,389.0,67.0,41.0
233.0,175.0,146.0,160.0,-4.0,29.0,-120.0,498.0,59.0,63.0
216.0,236.0,321.0,202.0,2.0,113.0,-230.0,554.0,97.0,90.0
156.0,205.0,382.0,6.0,12.0,70.0,-228.0,580.0,141.0,122.0
158.0,101.0,272.0,-154.0,16.0,45.0,-162.0,624.0,145.0,154.0
202.0,38.0,37.0,-367.0,15.0,133.0,-15.0,291.0,127.0,166.0
166.0,-41.0,-96.0,-396.0,10.0,214.0,104.0,129.0,52.0,179.0
113.0,-124.0,96.0,-287.0,2.0,179.0,147.0,-49.0,59.0,187.0
114.0,-118.0,88.0,-241.0,-5.0,67.0,44.0,-314.0,83.0,195.0
140.0,-69.0,-112.0,-256.0,-18.0,-14.0,-192.0,-319.0,132.0,206.0
69.0,-98.0,-364.0,-270.0,-29.0,-10.0,-398.0,-439.0,232.0,209.0
-6.0,-76.0,-560.0,-107.0,-28.0,-47.0,-548.0,-391.0,268.0,213.0
-17.0,-6.0,-321.0,83.0,-20.0,-77.0,-608.0,-249.0,216.0,198.0
-1.0,0.0,-157.0,166.0,-9.0,-11.0,-510.0,-20.0,153.0,209.0
6.0,-7.0,157.0,89.0,-15.0,20.0,-253.0,151.0,165.0,225.0
-64.0,118.0,496.0,65.0,-26.0,-110.0,42.0,84.0,164.0,220.0
-122.0,270.0,470.0,42.0,-24.0,-213.0,214.0,73.0,205.0,222.0
-147.0,294.0,175.0,96.0,-12.0,-125.0,242.0,-49.0,221.0,229.0
-162.0,350.0,-392.0,216.0,13.0,-102.0,183.0,-51.0,184.0,251.0
-172.0,298.0,-773.0,150.0,35.0,-89.0,71.0,-46.0,162.0,239.0
-215.0,188.0,-731.0,144.0,47.0,-72.0,-37.0,11.0,67.0,204.0
-269.0,92.0,-253.0,136.0,56.0,-20.0,-107.0,110.0,12.0,178.0
-274.0,-7.0,357.0,140.0,59.0,59.0,-151.0,48.0,-41.0,137.0
-200.0,-104.0,848.0,97.0,50.0,27.0,-156.0,97.0,-60.0,99.0
-125.0,-252.0,880.0,-51.0,37.0,-45.0,-97.0,-51.0,9.0,67.0
-142.0,-257.0,360.0,-55.0,37.0,-51.0,-1.0,-88.0,5.0,38.0
-195.0,-261.0,-350.0,91.0,41.0,23.0,63.0,-25.0,16.0,1.0
-174.0,-311.0,-856.0,128.0,41.0,-29.0,82.0,-33.0,53.0,-40.0
-139.0,-328.0,-984.0,48.0,37.0,-6.0,12.0,97.0,53.0,-39.0
-113.0,-322.0,-684.0,66.0,32.0,98.0,-124.0,51.0,24.0,-37.0
-173.0,-211.0,-74.0,76.0,35.0,52.0,-288.0,116.0,-15.0,-81.0
-158.0,-186.0,241.0,49.0,33.0,-18.0,-420.0,195.0,-29.0,-114.0
-36.0,-135.0,299.0,23.0,20.0,33.0,-358.0,301.0,-34.0,-134.0
-27.0,29.0,98.0,6.0,9.0,167.0,-139.0,426.0,-27.0,-187.0
-20.0,59.0,-260.0,17.0,-6.0,149.0,80.0,327.0,-67.0,-256.0
-37.0,27.0,-408.0,22.0,-24.0,-39.0,194.0,354.0,-81.0,-304.0
-24.0,-56.0,-113.0,-8.0,-30.0,-188.0,167.0,336.0,-16.0,-336.0
-34.0,-140.0,231.0,31.0,-26.0,-150.0,7.0,291.0,60.0,-370.0
-46.0,-202.0,304.0,30.0,-12.0,-20.0,-180.0,177.0,111.0,-395.0
-28.0,-276.0,307.0,-111.0,5.0,75.0,-279.0,29.0,118.0,-377.0
